FACID,FACNAME,FAC_FDR,BED_CAPACITY_TYPE,BED_CAPACITY,COUNTY_NAME,DATA_DATE
010000001,VINEYARD POST ACUTE,SKILLED NURSING FACILITY,SKILLED NURSING,99,SONOMA,2025-12-15
010000003,CREEKSIDE REHABILITATION & BEHAVIORAL HEALTH,SKILLED NURSING FACILITY,SKILLED NURSING,181,SONOMA,2025-12-15
010000004,CRESCENT CITY CARE CENTER,SKILLED NURSING FACILITY,SKILLED NURSING,99,DEL NORTE,2025-12-15
010000005,RIDGEWAY POST ACUTE,SKILLED NURSING FACILITY,SKILLED NURSING,79,SONOMA,2025-12-15
010000024,"GRANADA REHAB & WELLNESS CENTER, LP",SKILLED NURSING FACILITY,SKILLED NURSING,87,HUMBOLDT,2025-12-15
010000026,APPLE VALLEY POST-ACUTE REHAB,SKILLED NURSING FACILITY,SKILLED NURSING,95,SONOMA,2025-12-15
010000028,NORTH BAY POST ACUTE,SKILLED NURSING FACILITY,SKILLED NURSING,98,SONOMA,2025-12-15
010000033,SANTA ROSA POST ACUTE,SKILLED NURSING FACILITY,SKILLED NURSING,99,SONOMA,2025-12-15
010000034,SONOMA POST ACUTE,SKILLED NURSING FACILITY,SKILLED NURSING,83,SONOMA,2025-12-15
010000037,CLOVERDALE HEALTHCARE CENTER,SKILLED NURSING FACILITY,SKILLED NURSING,72,SONOMA,2025-12-15
010000043,PARK VIEW POST ACUTE,SKILLED NURSING FACILITY,SKILLED NURSING,116,SONOMA,2025-12-15
010000047,NORTHBROOK HEALTHCARE CENTER,SKILLED NURSING FACILITY,SKILLED NURSING,70,MENDOCINO,2025-12-15
010000052,PETALUMA POST-ACUTE REHAB,SKILLED NURSING FACILITY,SKILLED NURSING,90,SONOMA,2025-12-15
010000059,NORTHVINE POSTACUTE CARE,SKILLED NURSING FACILITY,SKILLED NURSING,62,SONOMA,2025-12-15
010000060,"SEAVIEW REHABILITATION & WELLNESS CENTER, LP",SKILLED NURSING FACILITY,SKILLED NURSING,99,HUMBOLDT,2025-12-15
010000062,"SHERWOOD OAKS POST ACUTE CARE, LLC",SKILLED NURSING FACILITY,SKILLED NURSING,79,MENDOCINO,2025-12-15
010000066,BROADWAY VILLA POST ACUTE,SKILLED NURSING FACILITY,SKILLED NURSING,144,SONOMA,2025-12-15
010000075,"FORTUNA REHABILITATION & WELLNESS CENTER, LP",SKILLED NURSING FACILITY,SKILLED NURSING,104,HUMBOLDT,2025-12-15
010000076,SUMMERFIELD HEALTHCARE CENTER,SKILLED NURSING FACILITY,SKILLED NURSING,70,SONOMA,2025-12-15
010000078,"EUREKA REHABILITATION & WELLNESS CENTER, LP",SKILLED NURSING FACILITY,SKILLED NURSING,99,HUMBOLDT,2025-12-15
010000079,HILLCREST POST ACUTE,SKILLED NURSING FACILITY,SKILLED NURSING,59,SONOMA,2025-12-15
010000080,UKIAH POST ACUTE,SKILLED NURSING FACILITY,SKILLED NURSING,54,MENDOCINO,2025-12-15
010000082,REDWOOD COVE HEALTHCARE CENTER,SKILLED NURSING FACILITY,SKILLED NURSING,68,MENDOCINO,2025-12-15
010000086,BAYBERRY HOUSE,INTERMEDIATE CARE FACILITY-DD/H/N/CN/IID,INTERMEDIATE CARE/DD HABILITATIVE,6,NAPA,2025-12-15
010000087,BUTLER VALLEY,INTERMEDIATE CARE FACILITY-DD/H/N/CN/IID,INTERMEDIATE CARE/DD HABILITATIVE,6,HUMBOLDT,2025-12-15
010000088,BUTLER VALLEY #2,INTERMEDIATE CARE FACILITY-DD/H/N/CN/IID,INTERMEDIATE CARE/DD HABILITATIVE,6,HUMBOLDT,2025-12-15
010000160,MILESTONES OF DEVELOPMENT #1,INTERMEDIATE CARE FACILITY-DD/H/N/CN/IID,INTERMEDIATE CARE/DD HABILITATIVE,6,SOLANO,2025-12-15
010000162,MILESTONES OF DEVELOPMENT #3,INTERMEDIATE CARE FACILITY-DD/H/N/CN/IID,INTERMEDIATE CARE/DD HABILITATIVE,6,SOLANO,2025-12-15
010000163,MILESTONES OF DEVELOPMENT #4,INTERMEDIATE CARE FACILITY-DD/H/N/CN/IID,INTERMEDIATE CARE/DD HABILITATIVE,6,SOLANO,2025-12-15
010000164,MILESTONES OF DEVELOPMENT #5,INTERMEDIATE CARE FACILITY-DD/H/N/CN/IID,INTERMEDIATE CARE/DD HABILITATIVE,6,SOLANO,2025-12-15
010000208,SPRING LAKE VILLAGE,SKILLED NURSING FACILITY,SKILLED NURSING,70,SONOMA,2025-12-15
010000394,"BENNETT VALLEY ICF/DD-H, INC.",INTERMEDIATE CARE FACILITY-DD/H/N/CN/IID,INTERMEDIATE CARE/DD HABILITATIVE,6,SONOMA,2025-12-15
010000431,PETALUMA ICF/DDH,INTERMEDIATE CARE FACILITY-DD/H/N/CN/IID,INTERMEDIATE CARE/DD HABILITATIVE,8,SONOMA,2025-12-15
010000480,VELMA HOUSE,INTERMEDIATE CARE FACILITY-DD/H/N/CN/IID,INTERMEDIATE CARE/DD HABILITATIVE,6,SONOMA,2025-12-15
010000481,REDWOOD HOUSE,INTERMEDIATE CARE FACILITY-DD/H/N/CN/IID,INTERMEDIATE CARE/DD NURSING,6,SONOMA,2025-12-15
010000572,VICTORIA DRIVE HOUSE,INTERMEDIATE CARE FACILITY-DD/H/N/CN/IID,INTERMEDIATE CARE/DD HABILITATIVE,6,SONOMA,2025-12-15
010000585,FIFTY-O-ONE PARKHURST,INTERMEDIATE CARE FACILITY-DD/H/N/CN/IID,INTERMEDIATE CARE/DD HABILITATIVE,6,SONOMA,2025-12-15
010000598,SACRAMENTO HOUSE,INTERMEDIATE CARE FACILITY-DD/H/N/CN/IID,INTERMEDIATE CARE/DD HABILITATIVE,6,SONOMA,2025-12-15
